Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Siya Liquor,"5046 BILLTOWN RD, LOUISVILLE, KY 40299, USA",ChIJCSaOQeigaYgRSFenzQKBgN8,"5502 BILLTOWN RD, 40299",91,"5502 BILLTOWN RD, 40299"
Taylorsville Liquors,"9715 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJ5wxhjDyhaYgRfUgPqlpsRKk,"9909 TAYLORSVILLE ROAD, 40299",85,"9909 TAYLORSVILLE ROAD, 40299"
Hume Pharmacy,"10101 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJs3BZtFagaYgR5enbrMlAOwc,"9909 TAYLORSVILLE ROAD, 40299",76,"9909 TAYLORSVILLE ROAD, 40299"
Andrews Packaging Pharmacy,"10101 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJVVUF8VCgaYgRkEgCslCQbz0,"9909 TAYLORSVILLE ROAD, 40299",76,"9909 TAYLORSVILLE ROAD, 40299"
Circle K,"12415 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJgSa7JH-haYgRIUpYCVdb8rE,"12415 TAYLORSVILLE RD, LOUISVILLE, KY 40299",79,"12415 TAYLORSVILLE RD, LOUISVILLE, KY 40299"
Republic National Distributing,"2801 BLANKENBAKER PKWY, LOUISVILLE, KY 40299, USA",ChIJR-O78dWYaYgRcFXTiYF0iV8,"1804 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299",69,"1804 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299"
Chewy Pharmacy,"2815 WATTERSON TRAIL, LOUISVILLE, KY 40299, USA",ChIJhRenfR2haYgRxWYD_4jGdsU,"10525 WATTERSON TRL, JEFFERSONTOWN, KY 40299",65,"10525 WATTERSON TRL, JEFFERSONTOWN, KY 40299"
Kroger,"12611 TAYLORSVILLE RD STE 102, LOUISVILLE, KY 40299, USA",ChIJXcgGStWjaYgRuPtx51-1SGg,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299",74,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299"
Kroger Fuel Center,"12623 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJ23KkTtWjaYgRvMqGbryhliQ,"12623 TAYLORSVILLE RD, LOUISVILLE, KY 40299",79,"12623 TAYLORSVILLE RD, LOUISVILLE, KY 40299"
Circle K,"14000 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJ-aMkBFOiaYgRvWJg6wOJPd4,"14000 TAYLORSVILLE RD, LOUISVILLE, KY 40299",79,"14000 TAYLORSVILLE RD, LOUISVILLE, KY 40299"
