Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
GNC,"9472 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJq5MFzXGeaYgRhWk6MOFIcmc,38.305991,-85.5741197,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",71,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Fit Organics LTD,"9462 BROWNSBORO RD #347, LOUISVILLE, KY 40241, USA",ChIJdbaSMh2faYgR-oNTyIsFREU,38.3060214,-85.5744534,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",67,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Pendulum Smoke Shop,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJ0UH-K5OfaYgRDHwIbE-38aA,38.3020016,-85.5460378,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241",79,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241"
INFINITY SMOKE OUTLET,"3707 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJf19rWWKfaYgRf1pL27Cuv7Y,38.3015835,-85.5455762,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",74,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Puff & Stuff,"4102 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJ3bQSFLueaYgRE9JdYYFh57c,38.3036544,-85.534415,"4102 MURPHY LN, LOUISVILLE, KY 40241",74,"4102 MURPHY LN, LOUISVILLE, KY 40241"
Cloud 9 Smoke Shop 2,"10511 FISCHER PARK DR, LOUISVILLE, KY 40241, USA",ChIJOTRpeBCfaYgR5JznDUKb1Dg,38.296271499999996,-85.55922609999999,"10511 FISCHER PARK DR, 40241",100,"10511 FISCHER PARK DR, 40241"
LIQUOR PALATE,"3707 CHAMBERLAIN LN SUITE 101, LOUISVILLE, KY 40241, USA",ChIJkbzrOVGfaYgRHgTP_v90JKA,38.3015835,-85.5455762,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",85,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Liquor Barn,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJrTdDvoyeaYgRWSEtK8Ri4zQ,38.298342999999996,-85.5576162,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",79,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Speedway,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJ08hbw3-eaYgRYvym94bMjgg,38.3155522,-85.5628191,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241",78,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241"
Thorntons,"10320 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJu0waoPWeaYgRrAy0-hleI4M,38.2929994,-85.55933979999999,"10320 WESTPORT RD, LOUISVILLE, KY 40241",77,"10320 WESTPORT RD, LOUISVILLE, KY 40241"
Speedway,"11301 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ9cWy5JWeaYgR80hdk6uGMGU,38.2999891,-85.5412757,"11301 WESTPORT RD, LOUISVILLE, KY 40241",77,"11301 WESTPORT RD, LOUISVILLE, KY 40241"
